"Amasty Order Attribute","Amasty Order Attribute"
"Amasty Product Grid","Amasty Product Grid"
"Product Attribute","Product Attribute"
"Product Attribute Set","Product Attribute Set"
"Tax Rules","Tax Rules"
"Rating","Rating"
"CMS Manage Pages","CMS Manage Pages"
"CMS Static Blocks","CMS Static Blocks"
"CMS Widget Instances","CMS Widget Instances"
"CMS Poll","CMS Poll"
"System Configuration","System Configuration"
"User","User"
"Role","Role"
"System Design","System Design"
"System Web Services Users","System Web Services Users"
"System Web Services Roles","System Web Services Roles"
"System Transactional Emails","System Transactional Emails"
"System Custom Variable","System Custom Variable"
"Shipment","Shipment"
"Invoice","Invoice"
"Creditmemo","Creditmemo"
"Tax Class","Tax Class"
"Tax Rate","Tax Rate"
"Notification","Notification"
"Mass Product Action","Mass Product Action"
"Actions Log","Actions Log"
"Login Attempts","Login Attempts"
"Export Tax Rates","Export Tax Rates"
"Admin Actions Log","Admin Actions Log"
"Remove failed!","Remove failed!"
"Page Visit History","Page Visit History"
"Active Sessions","Active Sessions"
"Action Log","Action Log"
"Admin Action Log","Admin Action Log"
"This item no longer exists.","This item no longer exists."
"view","view"
"Preview Changes","Preview Changes"
"View Details","View Details"
"Clear Log","Clear Log"
"Username","Username"
"Fullname","Fullname"
"Action Type","Action Type"
"Object","Object"
"Item","Item"
"Action Log Details","Action Log Details"
"Item Information","Item Information"
"Full name","Full name"
"Full Name","Full Name"
"Logged In At","Logged In At"
"Location","Location"
"Recent Activity","Recent Activity"
"Terminate Session","Terminate Session"
"%d minute(s) ago","%d minute(s) ago"
"%d hour(s) ago","%d hour(s) ago"
"Session Start","Session Start"
"Session End","Session End"
"Ip Address","Ip Address"
"Admin Data","Admin Data"
"Visits History","Visits History"
" (%s attempts)"," (%s attempts)"
"User Agent","User Agent"
"Success","Success"
"Locked out","Locked out"
"Logout","Logout"
"Auto logout","Auto logout"
"Something went wrong...","Something went wrong..."
"Cleared Log","Cleared Log"
"Invalid Username or Password.","Invalid Username or Password."
"History of Changes","History of Changes"
"Data was exported","Data was exported"
"Compilation","Compilation"
"Cache","Cache"
"Index Management","Index Management"
"Login Lockout Settings","Login Lockout Settings"
"Enable Automatic Login Lockout","Enable Automatic Login Lockout"
"User will not be able to login after unsuccessful login attempts","User will not be able to login after unsuccessful login attempts"
"Number Of Failed Login Attempts","Number Of Failed Login Attempts"
"Maximum allowed number of tries","Maximum allowed number of tries"
"Lockout Time (in seconds)","Lockout Time (in seconds)"
"Remove All Lockouts","Remove All Lockouts"
"Clicking this button will unblock all currently blocked users","Clicking this button will unblock all currently blocked users"
"Log Actions For All Admin Users","Log Actions For All Admin Users"
"Admin Users To Log Actions For","Admin Users To Log Actions For"
"Log Page Visit History","Log Page Visit History"
"Automatically Clear Action Logs After, Days","Automatically Clear Action Logs After, Days"
"Log Out All Other Sessions","Log Out All Other Sessions"
"Allow only one session for each admin user name.","Allow only one session for each admin user name."
"Automatically Clear Page History Log, Days","Automatically Clear Page History Log, Days"
"Automatically Clear Login Attempts After, Days","Automatically Clear Login Attempts After, Days"
"Values For Mandatory Logging","Values For Mandatory Logging"
"Email Successful Logins To Admin","Email Successful Logins To Admin"
"Select Email Template","Select Email Template"
"Send to Email","Send to Email"
"Geolocation","Geolocation"
"Use Geo IP","Use Geo IP"
"Email Suspicious Logins To Admin","Email Suspicious Logins To Admin"
"Email Unsuccessful Logins To Admin","Email Unsuccessful Logins To Admin"
"Restore Settings","Restore Settings"
"Popup Warning Text","Popup Warning Text"
"#","#"
"Page Name","Page Name"
"Page Url","Page Url"
"Stay Duration","Stay Duration"
"Not found","Not found"
"Restore Changes","Restore Changes"
"Date:","Date:"
"Username:","Username:"
"Full Name:","Full Name:"
"Action Type:","Action Type:"
"Object:","Object:"
"Item:","Item:"
"Session Start:","Session Start:"
"Session End:","Session End:"
"IP Address:","IP Address:"
"Location:","Location:"
"Modifications Breakdown","Modifications Breakdown"
"Old Value","Old Value"
"New Value","New Value"
